movie_key,tmdb_id,imdb_id,title,original_title,release_date_key,original_language,runtime_minutes,status,budget_usd,primary_genre,secondary_genre,collection_name,rating_key,popularity,vote_average,vote_count,production_companies,director_popularity,cast_popularity,max_cast_popularity,date_key,date,day,month,month_name,year,week_of_year,weekday_name,rating_code,rating_description,opening_weekend_gross_usd,opening_source,opening_source_url,studios_from_dim,director_has_prior,director_prior_count,director_recent_opening,lead_actor_has_prior,lead_actor_prior_count,lead_actor_recent_opening
1214,20223,tt0806940,Charm School,Niñas Mal,20070309,es,102.0,Released,0.0,Comedy,,,83,2.0618,6.9,147.0,Columbia Pictures Producciones Mexico,1.9367,1.38202,2.8426,20070309,2007-03-09,9,3,March,2007,9,Friday,R,,7067022.0,bom,https://www.boxofficemojo.com/title/tt0806940/,Columbia Pictures Producciones Mexico,1,7,63951.0,1,8,3086315.0
1215,20323,tt1098356,Long Weekend,Long Weekend,20090814,en,87.0,Released,0.0,Thriller,Drama,,83,0.594,5.135,155.0,"Darclight Films, Screen Australia, Film Victoria, Southern Arc Films",0.8006,1.13332,2.7288,20090814,2009-08-14,14,8,August,2009,32,Friday,R,,,,,"Darclight Films, Film Victoria, Screen Australia, Southern Arc Films",1,5,83931.0,1,29,115053.0
1216,20329,tt0912597,Death Note: L Change the WorLd,L change the WorLd,20080207,ja,128.0,Released,0.0,Fantasy,Action,Death Note Collection,78,1.3037,6.025,298.0,"Yomiuri Telecasting Corporation, Horipro, Shueisha, Shochiku, Nippon Television Network Corporation, VAP, Nikkatsu Corporation, Warner Bros. Japan, Fukuoka Broadcasting System, Hiroshima Telecasting, Chukyo TV Broadcasting Company, Shizuoka Daiichi Television, Miyagi Television Broadcasting, Sapporo Television Broadcasting Company",1.1788,0.97248,1.5927,20080207,2008-02-07,7,2,February,2008,5,Thursday,NR,,5328178.0,bom,https://www.boxofficemojo.com/title/tt0912597/,"Chukyo TV Broadcasting Company, Fukuoka Broadcasting System, Hiroshima Telecasting, Horipro, Miyagi Television Broadcasting, Nikkatsu Corporation, Nippon Television Network Corporation, Sapporo Television Broadcasting Company, Shizuoka Daiichi Television, Shochiku, Shueisha, VAP, Warner Bros. Japan, Yomiuri Telecasting Corporation",1,18,4738.0,1,23,3450.0
1217,20342,tt1037850,Secret,不能說的秘密,20070727,zh,101.0,Released,0.0,Fantasy,Drama,,54,2.0011,7.561,204.0,"Zoom Hunt, Black & White Keys Production, Edko Films, Sil-Metropole Organisation",2.7506,1.8826800000000001,2.7506,20070727,2007-07-27,27,7,July,2007,29,Friday,G,,437579.0,bom,https://www.boxofficemojo.com/title/tt1037850/,"Black & White Keys Production, Edko Films, Sil-Metropole Organisation, Zoom Hunt",0,0,,1,7,184000.0
1218,20294,tt0488798,Welcome,Welcome,20071221,hi,150.0,Released,0.0,Comedy,Crime,Welcome Collection,17,2.1138,6.8,169.0,"A.G. Films, The Indian Film Company, UTV Motion Pictures, Prime Focus, Base Industries Group",0.3427,2.71946,8.4893,20071221,2007-12-21,21,12,December,2007,50,Friday,14A,,732344.0,bom,https://www.boxofficemojo.com/title/tt0488798/,"A.G. Films, Base Industries Group, Prime Focus, The Indian Film Company, UTV Motion Pictures",1,5,92574.0,1,82,1500000.0
1219,20352,tt1323594,Despicable Me,Despicable Me,20100708,en,95.0,Released,69000000.0,Family,Comedy,Despicable Me Collection,79,10.7308,7.256,15856.0,"Illumination, Universal Pictures",1.1326,2.7210199999999998,5.629,20100708,2010-07-08,8,7,July,2010,27,Thursday,PG,,56397125.0,bom,https://www.boxofficemojo.com/title/tt1323594/,"Illumination, Universal Pictures",1,5,,1,27,25207599.0
1220,20360,tt0795434,Namastey London,Namastey London,20070323,hi,131.0,Released,0.0,Comedy,Drama,Namastey London Collection,79,0.7728,6.202,121.0,"Blockbuster Movie Entertainers, Ultra Media & Entertainment [IN], Namastey London Productions Limited, Eros International",0.943,2.83324,8.4893,20070323,2007-03-23,23,3,March,2007,11,Friday,PG,,578224.0,bom,https://www.boxofficemojo.com/title/tt0795434/,"Blockbuster Movie Entertainers, Eros International, Namastey London Productions Limited, Ultra Media & Entertainment [IN]",1,2,454800.0,1,78,252988.0
1221,20365,tt1087856,Hello,Hello,20081010,hi,129.0,Released,0.0,Comedy,,,93,2.895,5.682,140.0,"Funky Buddha Media, Mirah Entertainment, Perception Pictures, Reel Life Productions",0.1665,0.73266,0.9306,20081010,2008-10-10,10,10,October,2008,40,Friday,UA,,39491.0,bom,https://www.boxofficemojo.com/title/tt1087856/,"Funky Buddha Media, Mirah Entertainment, Perception Pictures, Reel Life Productions",1,1,153958.0,1,10,34082.0
1222,20382,tt0833557,Visioneers,Visioneers,20080612,en,90.0,Released,0.0,Comedy,Drama,,83,3.9939,5.634,119.0,Fireside Film,0.5437,2.50608,3.8287,20080612,2008-06-12,12,6,June,2008,23,Thursday,R,,,,,Fireside Film,0,0,,1,21,20172474.0
1223,20407,tt1187041,The Answer Man,The Answer Man,20090118,en,95.0,Released,0.0,Comedy,Romance,,83,0.6386,6.261,136.0,"120dB Films, Messick Films, Ideal Partners",0.5901,1.90702,3.4908,20090118,2009-01-18,18,1,January,2009,3,Sunday,R,,12998.0,bom,https://www.boxofficemojo.com/title/tt1187041/,"120dB Films, Ideal Partners, Messick Films",0,0,,1,66,7868465.0
